"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012815","Cinnamon (canella), raw","","CPA_A012815","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012816","Cloves (whole stems), raw","","CPA_A012816","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012817","Ginger, dry, raw","","CPA_A012817","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012818","Vanilla, raw","","CPA_A012818","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012819","Other spices, not processed","","CPA_A012819","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01282","Hop cones","","CPA_A01282","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012820","Hop cones","","CPA_A012820","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01283","Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes","","CPA_A01283","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012830","Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes","","CPA_A012830","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0129","Other perennial crops","","CPA_A0129","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01291","Natural rubber","","CPA_A01291","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012910","Natural rubber","","CPA_A012910","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01292","Christmas trees, cut","","CPA_A01292","valid","2018-03-23"
